level,champion,score,game_mode,kda,creep_score,gold,minutes,date,rank,experience_gained,kills,deaths,assists,game_status
8,Thresh,A- / +508 XP,Summoner's Rift,1/0/3,0,4300,15:20,10/17/2018,A- ,508,1,0,3,1
2,Shen,C,Summoner's Rift,0/0/1,0,737,3:17,10/17/2018,C,0,0,0,1,0
16,Heimerdinger,S- / +172 XP,Summoner's Rift,11/0/3,147,11000,25:06:00,10/17/2018,S- ,172,11,0,3,1
14,Kalista,C / +201 XP,Summoner's Rift,01/07/2004,205,9900,36:12:00,10/17/2018,C ,201,1,7,4,-1
14,Shen,A- / +172 XP,Summoner's Rift,04/02/2014,105,8900,25:04:00,10/17/2018,A- ,172,4,2,14,1
15,Kalista,+617 XP,Summoner's Rift,0/5/8,152,9700,31:57:00,10/17/2018,N/A,617,0,5,8,1
10,Vayne,A- / +901 XP,Summoner's Rift,06/04/2002,97,6600,17:45,10/16/2018,A- ,901,6,4,2,-1
11,Jhin,C+ / +140 XP,Summoner's Rift,03/02/2005,94,6600,20:10,10/15/2018,C+ ,140,3,2,5,1
16,Shen,A+ / +593 XP,Summoner's Rift,07/01/2009,135,10700,28:11:00,10/14/2018,A+ ,593,7,1,9,1
12,Vayne,C- / +144 XP,Summoner's Rift,02/08/2007,101,7300,25:41:00,10/14/2018,C- ,144,2,8,7,-1
15,Vayne,D+ / +218 XP,Summoner's Rift,02/12/2006,176,10600,39:22:00,10/14/2018,D+ ,218,2,12,6,-1
3,Vayne,B+,Summoner's Rift,1/0/1,13,1500,3:30,10/14/2018,B+,0,1,0,1,0
14,Shen,B / +163 XP,Summoner's Rift,01/05/2013,57,7300,29:11:00,10/14/2018,B ,163,1,5,13,-1